id;agency_id;short_name;long_name;description;route_type;route_url;route_color
25;1;20;[20] Monte - Via Corujeira de Dentro{Urbano - Regular};Centro - Monte (via Corujeira de Dentro);3;http://www.horariosdofunchal.pt/carreiras2011/20.pdf#toolbar=0&navpanes=0;F37032
26;1;20A;[20A] Monte - Lombos - Via Corujeira de Dentro{Urbano - Regular};Centro - Monte - Lombos (via Corujeira de Dentro);3;http://www.horariosdofunchal.pt/carreiras2011/20A.pdf#toolbar=0&navpanes=0;F37032
27;1;21;[21] Monte - Via Largo da Fonte{Urbano - Regular};Centro - Monte (Largo da Fonte);3;http://www.horariosdofunchal.pt/carreiras2011/21.pdf#toolbar=0&navpanes=0;F37032
45;1;36;[36] Palheiro Ferreiro (Via Lombo da Quinta){Urbano - Regular};Centro - Palheiro Ferreiro (via Ribeiro da Quinta);3;http://www.horariosdofunchal.pt/carreiras2011/36.pdf#toolbar=0&navpanes=0;EC008C
48;1;38;[38] Cancela{Urbano - Regular};Centro - Cancela;3;http://www.horariosdofunchal.pt/carreiras2011/38.pdf#toolbar=0&navpanes=0;EC008C
90;5;81;[81] Curral das Freiras{Interurbano - Linha Laranja};Funchal - Curral das Freiras;3;http://www.horariosdofunchal.pt/carreiras2011/81.pdf#toolbar=0&navpanes=0;F79239
91;5;85;[85] Boqueirão / P. Ferr{Interurbano - Linha Vermelha};Funchal - Boqueirão (via Palheiro Ferreiro);3;http://www.horariosdofunchal.pt/carreiras2011/85.pdf#toolbar=0&navpanes=0;ED1C24
9;1;8;[8] Santa Quitéria - Via Barreiros{Urbano - Regular};Centro - Stª Quitéria (via Barreiros);3;http://www.horariosdofunchal.pt/carreiras2011/08.pdf#toolbar=0&navpanes=0;663695
13;1;10A;[10A] Chamorra(Barreira){Urbano - Regular};Centro - Chamorra (Barreira);3;http://www.horariosdofunchal.pt/carreiras2011/10A.pdf#toolbar=0&navpanes=0;663695
20;1;15B;[15B] Santana (Escola do Galeão){Urbano - Regular};Centro - Galeão (Escola);3;http://www.horariosdofunchal.pt/carreiras2011/15B.pdf#toolbar=0&navpanes=0;F37032
49;1;39;[39] Montanha{Urbano - Regular};Centro - Montanha;3;http://www.horariosdofunchal.pt/carreiras2011/39.pdf#toolbar=0&navpanes=0;EC008C
51;1;42;[42] Alegria{Urbano - Regular};Centro - Alegria;3;http://www.horariosdofunchal.pt/carreiras2011/42.pdf#toolbar=0&navpanes=0;F37032
